,lisa_I,lisa_p,lisa_quad,lisa_class,lisa_sig,lisa_label
6787,0.14879481078695583,0.003,1,1,True,HH (Hot Spot)
6788,1.449471621197011,0.005,3,3,True,LH (Low surrounded by High)
6789,-0.08588976891525937,0.328,2,0,False,No Significativo
6790,0.5884710294222701,0.035,3,3,True,LH (Low surrounded by High)
6791,1.8911148654262726,0.001,1,1,True,HH (Hot Spot)
6792,6.723530916856712,0.001,1,1,True,HH (Hot Spot)
6793,1.1390578428834013e-05,0.494,3,0,False,No Significativo
6794,0.0566480693185325,0.127,1,0,False,No Significativo
6795,0.9969981538821698,0.018,3,3,True,LH (Low surrounded by High)
6796,0.5062440498132056,0.054,1,0,False,No Significativo
6797,0.25132095621709544,0.142,3,0,False,No Significativo
6798,0.8919910999427689,0.07,3,0,False,No Significativo
6799,1.1904420318995077,0.005,1,1,True,HH (Hot Spot)
6800,-0.022615783867393935,0.312,2,0,False,No Significativo
6801,0.2615891382259083,0.158,3,0,False,No Significativo
6802,1.0470862792695634,0.011,1,1,True,HH (Hot Spot)
6803,4.3405284604628775,0.001,3,3,True,LH (Low surrounded by High)
6804,0.276175654587931,0.146,3,0,False,No Significativo
6805,0.14244607966426606,0.063,1,0,False,No Significativo
6806,-0.011567705030138748,0.39,2,0,False,No Significativo
6807,2.2395486971199254,0.002,3,3,True,LH (Low surrounded by High)
6808,-0.006589575708546289,0.405,4,0,False,No Significativo
6809,0.7960401953585339,0.014,1,1,True,HH (Hot Spot)
6810,0.2645513035654545,0.163,1,0,False,No Significativo
6811,0.8407608355163116,0.02,3,3,True,LH (Low surrounded by High)
6812,1.708771931531982,0.005,1,1,True,HH (Hot Spot)
6813,-0.08600285890141318,0.224,4,0,False,No Significativo
6814,0.3608398020120715,0.057,3,0,False,No Significativo
6815,0.05016286058554517,0.409,1,0,False,No Significativo
6816,1.040910363112191,0.001,3,3,True,LH (Low surrounded by High)
6817,0.5923502757469342,0.085,3,0,False,No Significativo
6818,1.4001515583557567,0.001,1,1,True,HH (Hot Spot)
6819,0.15402174848338127,0.213,1,0,False,No Significativo
6820,1.5177298732088584,0.005,3,3,True,LH (Low surrounded by High)
6821,0.38686789967684204,0.018,1,1,True,HH (Hot Spot)
